450.734,569.576,381.038,524.083,255.309,548.555,248.287,736.822,363.526,841.628,517.076,506.579,517.213,667.117,471.757,775.417,408.852,750.9,346.119,764.962,391.421,1072.01,0,0,478.635,740.342,639.24,883.503,0,0,426.277,545.173,482.061,541.478,356.551,510.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880.364,1362.44,759.976,1173.77,608.225,1236.69,398.558,1451.48,644.671,1587.59,896.109,1137.14,901.236,1357.16,770.365,1404.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864.803,1325.69,0,0,817.588,1268.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1389.7,7.79202,1378.05,300.75,1139.55,327.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621.456,221.286,412.499,162.339,421.335,174.144,347.717,836.254,715.588,680.316,394.829,138.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.485,109.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,483.18,477.134,636.093,518.43,709.741,918.621,765.572,683.185,338.98,415.417,341.805,742.086,0,0,488.975,1009.84,583.214,1033.41,768.593,883.337,0,0,391.872,1003.99,0,0,0,0,0,0,0,0,633.179,271.251,462.526,203.535,0,0,0,0,0,0,0,0,0,0,0,0,0
683.233,297.733,818.589,335.93,718.501,321.221,647.819,456.626,565.495,527.265,915.69,341.903,771.484,680.31,650.847,574.361,865.703,792.127,818.576,762.684,0,0,0,0,909.844,827.434,0,0,0,0,653.828,274.219,692.069,271.213,0,0,809.689,221.248,0,0,0,0,0,0,0,0,0,0,0,0,0
652.948,288.563,674.471,333.542,650.931,335.524,641.164,368.871,0,0,697.965,335.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.903,284.564,664.576,284.56,0,0,672.491,288.43,0,0,0,0,0,0,0,0,0,0,0,0,0
398.457,686.419,178.573,770.409,105.341,812.309,257.18,1111.12,561.043,1069.01,236.251,728.71,335.805,896.366,461.471,937.955,183.866,1210.44,141.845,1273.21,487.608,1336.12,0,0,231.042,1152.85,0,0,0,0,367.28,634.248,398.652,644.455,230.88,629.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709.667,432.939,650.857,430.158,524.295,430.086,468.423,712.617,597.908,815.588,786.291,421.357,792.147,630.205,739.097,721.525,624.426,848.025,530.235,848.017,0,0,0,0,718.488,842.138,0,0,0,0,674.357,403.622,739.197,389.059,612.593,356.61,765.563,333.058,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,995.171,383.055,1101.14,312.377,0,0,0,0,886.239,438.991,809.653,789.147,745.015,589.063,933.41,1051.07,1003.98,1045.15,0,0,0,0,880.408,1051.09,0,0,0,0,0,0,0,0,1003.99,156.484,836.262,215.317,0,0,0,0,0,0,0,0,0,0,0,0,0
